treated_permno,treated_accession,treated_td,treated_quarter,treated_sic2,treated_post,control_permno,match_group,mahalanobis_d2,control_logcap,control_logilliq,control_turnover,control_ret12m,control_idiovol
18368,0001749723-24-000095,2024-10-01,2024Q4,49,1,54199,0001749723-24-000095,0.30026092284615946,14.44344878469687,-6.713313135781741,0.10130416310630815,-0.05281399982050061,0.015391974668085388
16570,0001214659-23-003818,2023-03-14,2023Q1,28,0,17955,0001214659-23-003818,0.003966794209895934,10.768281811488635,-2.2193722340418334,5.72196175335298,0.5318059912096942,0.0504676255909858
16570,0001214659-23-003818,2023-03-14,2023Q1,28,0,16781,0001214659-23-003818,0.006171374378231376,10.743009760741478,-2.1697482806898694,4.502648583380327,-0.42004300688859075,0.06154224910919869
16570,0001214659-23-003818,2023-03-14,2023Q1,28,0,88511,0001214659-23-003818,0.020525640062684085,11.067539987006105,-2.462854599617611,11.666748759276556,-0.11272698115499225,0.04943988883091252
64282,0000899140-22-000826,2022-11-30,2022Q4,59,0,89540,0000899140-22-000826,0.7506491494888101,15.704947847377348,-8.87000346383483,0.2773301600993557,0.19998700049472973,0.02710982837979213
16308,0000921895-22-001859,2022-06-01,2022Q2,73,0,17245,0000921895-22-001859,0.5542605653674224,11.82338837251026,-3.697611385576587,1.6083704979573998,-0.9032049851375632,0.05405754483885404
16308,0000921895-22-001859,2022-06-01,2022Q2,73,0,88260,0000921895-22-001859,0.9539728097194173,11.657508116857247,-3.25386898946947,2.758963423810548,-0.6818169995676726,0.0374053076960645
17073,0000899140-22-000470,2022-04-14,2022Q2,13,0,58975,0000899140-22-000470,0.024705228467120477,14.229388062435142,-6.004328569076083,0.6212279212406213,0.34879100194666535,0.034962971184636496
17073,0000899140-22-000470,2022-04-14,2022Q2,13,0,14773,0000899140-22-000470,0.08037320428118118,13.658675655499263,-5.545406551556343,0.6242422320125867,0.07430800306610763,0.03023868109171497
17073,0000899140-22-000470,2022-04-14,2022Q2,13,0,16667,0000899140-22-000470,0.19978144633852513,13.67810015455286,-4.867021711044362,0.709066254674601,0.602117000380531,0.03817464815388781
21625,0000902664-23-003734,2023-06-16,2023Q2,73,0,16712,0000902664-23-003734,0.048300215154248455,11.885112964640674,-4.220085734909402,4.172559223741829,-0.11624099558684975,0.058366741261027165
21625,0000902664-23-003734,2023-06-16,2023Q2,73,0,77505,0000902664-23-003734,0.06069220262598749,12.413218472913872,-4.853586204159785,1.2105624763501908,0.8924660087213852,0.03636683247755627
21625,0000902664-23-003734,2023-06-16,2023Q2,73,0,22260,0000902664-23-003734,0.06838468397628628,11.736189329046567,-4.023452777809457,15.290707452395555,-0.5969849871471524,0.05245388727379637
88174,0001193805-22-000401,2022-02-22,2022Q1,73,0,21120,0001193805-22-000401,0.003287733989823593,14.517038501616442,-7.085032514376028,0.9068091996826426,-1.05268597920076,0.04481073579118265
88174,0001193805-22-000401,2022-02-22,2022Q1,73,0,78664,0001193805-22-000401,0.004280336264839696,14.70787786924403,-7.353614618180347,0.8502420582084679,-0.2511269942333456,0.04297086830489772
88174,0001193805-22-000401,2022-02-22,2022Q1,73,0,76752,0001193805-22-000401,0.010208853038527256,14.515738505619622,-7.040145625118666,0.16462854270296845,-0.001655991916777566,0.016731797452031703
20312,0001213900-23-071415,2023-08-20,2023Q3,36,0,16247,0001213900-23-071415,0.018824316307321506,10.674974453047287,-1.4220011184746988,0.34829132011502056,-0.4698460059444187,0.03241235122677494
20312,0001213900-23-071415,2023-08-20,2023Q3,36,0,47619,0001213900-23-071415,0.055071983474981004,11.013660755559332,-1.6696074493863136,0.33698897269968997,0.24616099463310093,0.028836832294414375
20312,0001213900-23-071415,2023-08-20,2023Q3,36,0,31691,0001213900-23-071415,0.06306785224491386,10.660860861694175,-1.259776286498603,0.12767178834546541,0.21666499914135784,0.02425922278291804
13111,0001062993-23-003537,2023-02-13,2023Q1,28,0,19401,0001062993-23-003537,0.0024547199997926503,10.170796877704209,-0.8095232085486864,10.536992688315019,-0.02633396675810218,0.06897582931442243
13111,0001062993-23-003537,2023-02-13,2023Q1,28,0,15486,0001062993-23-003537,0.0098382358614665,10.424683814853234,-1.1432803619641148,20.51987508532238,0.4881120249046944,0.040012889747955076
13111,0001062993-23-003537,2023-02-13,2023Q1,28,0,16178,0001062993-23-003537,0.016797000832925506,10.518318534148237,-1.2582498906624833,7.337982603470618,-0.7024650314415339,0.08427418334446135
21007,0001387131-22-003635,2022-03-02,2022Q1,73,0,16400,0001387131-22-003635,0.08541698685887358,12.527225276793553,-6.639007014529479,75.45816742333545,4.316262126667425,0.36888309066425073
21007,0001387131-22-003635,2022-03-02,2022Q1,73,0,22260,0001387131-22-003635,0.7425089791534667,12.948190188308622,-6.026571643264589,4.28668764902597,,
19969,0000895345-23-000577,2023-10-02,2023Q4,28,0,19993,0000895345-23-000577,0.0008508210343237536,11.434033436677838,-1.621543622912456,1.084100510776015,-0.021027996903285384,0.03407970121036945
19969,0000895345-23-000577,2023-10-02,2023Q4,28,0,16007,0000895345-23-000577,0.03317315215130616,11.58334441246059,-1.6097629958049615,0.7637720679169474,-0.14825699478387833,0.03328241420642149
19969,0000895345-23-000577,2023-10-02,2023Q4,28,0,19831,0000895345-23-000577,0.0426865087985569,11.60921116879623,-1.9926594124629735,0.14001090389661103,-0.6202690074860584,0.031329908598241585
19568,0001123292-23-000096,2023-08-04,2023Q3,28,0,20280,0001123292-23-000096,0.0011901049796585613,11.836100180140743,-3.392697788955667,3.147495391792608,-0.8406360155204311,0.058146087367736146
19568,0001123292-23-000096,2023-08-04,2023Q3,28,0,15779,0001123292-23-000096,0.010162571030637547,11.668594990766756,-3.179322892354595,3.6656678707614727,0.1707880012691021,0.04829574796956608
19568,0001123292-23-000096,2023-08-04,2023Q3,28,0,18215,0001123292-23-000096,0.022149508937495885,11.553971434406229,-3.0252839301626993,1.6556827968301757,0.3096249859081581,0.05017385863554717
92091,0001437749-22-021511,2022-08-16,2022Q3,73,0,16376,0001437749-22-021511,0.05304010123089155,9.108328687164203,-0.30944588152640007,72.26290571511348,-0.243947004142683,0.05554650154381467
92091,0001437749-22-021511,2022-08-16,2022Q3,73,0,21285,0001437749-22-021511,0.09492499028854563,9.798686880136817,-1.031870347748636,41.750428136836476,0.17186096985824406,0.06431111266294302
92091,0001437749-22-021511,2022-08-16,2022Q3,73,0,19011,0001437749-22-021511,0.8439870031527467,9.70928550132121,-0.305616631161995,93.02204678119337,-0.5893410352291539,0.06101602224123189
89573,0001493152-24-008886,2024-02-28,2024Q1,60,1,14650,0001493152-24-008886,0.0002954943556122606,12.187733150333997,-2.7793664140029675,0.061973584296135815,0.06252400632365607,0.01715734168333848
89573,0001493152-24-008886,2024-02-28,2024Q1,60,1,19231,0001493152-24-008886,0.0016447197358141854,12.202401916640712,-2.820742479480935,0.0930182709530022,0.16450299427378923,0.026031201644326388
89573,0001493152-24-008886,2024-02-28,2024Q1,60,1,85725,0001493152-24-008886,0.003911329533439226,12.112838309670188,-2.724067170448931,0.035298936653042255,0.03407400436117314,0.022896366982089623
14456,0001104659-24-024047,2024-02-12,2024Q1,28,1,91571,0001104659-24-024047,0.036106813939254134,11.30145155772201,-4.189358975067167,11.906897751307353,-1.4188710182206705,0.05117625662541548
14456,0001104659-24-024047,2024-02-12,2024Q1,28,1,15775,0001104659-24-024047,0.09458448462372132,11.300406522083456,-4.313632286418315,63.63549111209849,-0.6996649457723834,0.08235233435849791
14456,0001104659-24-024047,2024-02-12,2024Q1,28,1,16781,0001104659-24-024047,0.19784429054557054,10.89829367247865,-3.1111270627267076,14.867953793896417,0.07084501232020557,0.06150402830963306
21263,0001193805-24-001111,2024-09-05,2024Q3,38,1,18899,0001193805-24-001111,0.003213060088777917,9.867628223595618,0.38397904546396566,0.6273830333660252,-0.673130988230696,0.03159484080178636
21263,0001193805-24-001111,2024-09-05,2024Q3,38,1,22561,0001193805-24-001111,0.0699200316914503,9.563699223753819,0.9496957010672643,2.9412824850962984,1.2619040425197454,0.08727584077152974
21263,0001193805-24-001111,2024-09-05,2024Q3,38,1,21844,0001193805-24-001111,0.0965796630144254,9.76669427431385,0.7650131669006128,231.07609458746794,-1.1560570179426577,0.07783207913916783
87508,0001493152-23-025513,2023-07-24,2023Q3,73,0,83844,0001493152-23-025513,0.013023722472498988,10.40301994716454,0.2781176875283251,0.6154324499393088,-0.06216601701453328,0.028247714820685266
87508,0001493152-23-025513,2023-07-24,2023Q3,73,0,23513,0001493152-23-025513,0.1253272556024861,9.697450595524224,0.8339945419889961,13.33922145865827,-0.08342096902197227,0.05819277996900361
87508,0001493152-23-025513,2023-07-24,2023Q3,73,0,22776,0001493152-23-025513,0.1761925010243684,10.343549559399039,0.7649466960180031,38.39285653747939,0.8913649500100291,0.10678547198788571
21619,0001213900-24-111891,2024-11-14,2024Q4,49,1,50789,0001213900-24-111891,0.010600483076896051,15.11729119127945,-6.691319406550386,0.03350105613874664,0.2572339971375186,0.013713409216831798
21619,0001213900-24-111891,2024-11-14,2024Q4,49,1,60098,0001213900-24-111891,0.23435415824432435,15.01152830858702,-7.0981708289153165,0.0701793215728541,-0.045452001328158076,0.015061211328901732
21619,0001213900-24-111891,2024-11-14,2024Q4,49,1,23182,0001213900-24-111891,0.2596400711365181,14.844395241008685,-6.922865254987727,0.037382695006168185,0.22103199559933273,0.01218938787111604
20654,0000014693-24-000036,2024-04-30,2024Q2,20,1,77165,0000014693-24-000036,0.005301511461433399,13.714310376103864,-6.172450543284311,0.06205661250150097,0.010861006361665204,0.017447125825364423
20654,0000014693-24-000036,2024-04-30,2024Q2,20,1,91977,0000014693-24-000036,0.006701309399545825,13.674862703284667,-6.258609937698934,1.1975183653102228,0.03302900231210515,0.03112478332206928
20654,0000014693-24-000036,2024-04-30,2024Q2,20,1,22199,0000014693-24-000036,0.02006497524906394,14.131186587566697,-6.702700415148099,0.5126591993298778,-0.019182004471076652,0.029789775012830786
90755,0000902664-24-006230,2024-10-29,2024Q4,67,1,19225,0000902664-24-006230,0.01826801586338874,12.455572595306819,-3.55687746488591,0.15316734371974003,0.158098993008025,0.021111082366062
23193,0001683168-23-007194,2023-09-26,2023Q3,37,0,49138,0001683168-23-007194,0.08424514115025111,9.815966955006633,1.316816117651192,0.36602992433897624,0.26287103042704985,0.040521828616942326
18855,0001068238-22-000140,2022-05-19,2022Q2,28,0,15187,0001068238-22-000140,0.07226450034097695,9.139252450260452,-2.7018013495398985,365.56782632774224,-1.9099089917290257,0.07606055654207684
18855,0001068238-22-000140,2022-05-19,2022Q2,28,0,22537,0001068238-22-000140,0.6125185386013021,9.774864096264189,-2.5157136795956387,189.00280155357174,,
18855,0001068238-22-000140,2022-05-19,2022Q2,28,0,19837,0001068238-22-000140,0.6677407016757663,9.863120142176834,-2.5913332685186607,83.26007182525106,-1.2526689965743572,0.073473550963221
77660,0001104659-22-100898,2022-08-14,2022Q3,61,0,14229,0001104659-22-100898,1.1937791534362892,15.337530572244757,-7.804282454356275,0.2582594577983615,-0.2114550050755497,0.017935441148936616
20310,0001213900-22-049693,2022-08-09,2022Q3,37,0,92589,0001213900-22-049693,0.5855866684404808,12.159597828873792,-3.411412633453027,1.893670179207904,-0.2532659932039678,0.038336472035640425
12566,0001104659-22-082403,2022-07-13,2022Q3,67,0,92690,0001104659-22-082403,0.02975844197608695,13.8190552680497,-6.007396041664952,0.311729144194794,-0.21174699539551511,0.016603100521608113
12566,0001104659-22-082403,2022-07-13,2022Q3,67,0,22080,0001104659-22-082403,0.03102581668803582,13.940534991298545,-6.198966344893011,1.0894901500251586,-0.08784600521903485,0.01775775117032192
12566,0001104659-22-082403,2022-07-13,2022Q3,67,0,13756,0001104659-22-082403,0.033941751249118385,13.58304771664873,-6.040424308578238,0.36434762174760266,0.08265399173251353,0.02507482174331658
92528,0000919574-23-005372,2023-09-27,2023Q3,27,0,23120,0000919574-23-005372,0.022082762951975986,10.026806348668856,-1.4729302815421697,3.231110062632133,0.5720580308952776,0.07403940190509467
19602,0000950142-22-000628,2022-02-04,2022Q1,67,0,20602,0000950142-22-000628,0.046284820754709605,11.93667341864016,-2.7104980513714345,1.1555828485558863,0.020166998259810498,0.008478496817561574
19602,0000950142-22-000628,2022-02-04,2022Q1,67,0,16577,0000950142-22-000628,0.12603423535506636,11.89254818308057,-3.2146198421527545,0.43350011071179256,0.20150598674081266,0.02135478908152961
13700,0001193805-23-000737,2023-04-22,2023Q2,67,0,82639,0001193805-23-000737,0.18876778975806296,9.233632980627974,1.7887684584877315,10.028066505388617,0.5875519824330695,0.1162966410415693
16393,0000897069-23-000114,2023-02-06,2023Q1,28,0,14046,0000897069-23-000114,0.04819442934720414,8.427496029113845,-0.5452873986690259,36.08388761540256,-0.8961129909657757,0.06013808312540936
16393,0000897069-23-000114,2023-02-06,2023Q1,28,0,90539,0000897069-23-000114,0.06132300299916327,8.679138556457364,-0.4767825925589098,30.61424564440708,-0.8496329814806813,0.0584961366098692
16393,0000897069-23-000114,2023-02-06,2023Q1,28,0,16532,0000897069-23-000114,0.0687875154865056,8.03989905085904,0.36897101104411595,441.7113683046532,-0.431130982163495,0.08102203804588459
23065,0001493152-22-036342,2022-12-12,2022Q4,28,0,18406,0001493152-22-036342,0.003048229449586513,11.65142051822363,-2.2546626436087864,0.34602226410704595,-0.05320999992545694,0.04361461353382661
23065,0001493152-22-036342,2022-12-12,2022Q4,28,0,20058,0001493152-22-036342,0.015442518648957626,11.520228234718557,-2.0070135153632385,1.2806776688186905,-0.13307499280199409,0.06131580270780242
23065,0001493152-22-036342,2022-12-12,2022Q4,28,0,16007,0001493152-22-036342,0.02286628154022657,11.724955812756852,-2.24563962769056,2.5764388991175116,-0.18495200108736753,0.047275869405757204
83910,0001213900-22-018462,2022-04-01,2022Q2,35,0,76052,0001213900-22-018462,0.13931252588535042,11.278144460411898,-1.1901758358599295,0.22882229535167314,0.3506709989742376,0.02467986884262902
83910,0001213900-22-018462,2022-04-01,2022Q2,35,0,14548,0001213900-22-018462,0.20806389121407234,11.046432466243695,-0.8292924926696151,2.969569655521745,0.2751999879255891,0.03228940247906083
83910,0001213900-22-018462,2022-04-01,2022Q2,35,0,77624,0001213900-22-018462,0.5656612600667078,10.813489752978741,-1.718692769761492,3.295893934461484,0.004223981755785644,0.07494043656120385
18259,0001104659-25-001689,2024-12-13,2024Q4,67,1,22207,0001104659-25-001689,1.0765650024807043,9.21898093456617,-0.7201672491091516,2.3561109238657614,-0.5876460207327909,0.030494753840049172
14934,0001213900-23-068201,2023-08-07,2023Q3,38,0,11394,0001213900-23-068201,0.14260484323936212,8.086847102977613,-1.0953567312260608,77.43830900166039,-0.5206009751746024,0.11045594087548419
61487,0001104659-24-075608,2024-06-26,2024Q2,51,1,81728,0001104659-24-075608,0.012503988445934398,11.24619633833667,-2.0338042271943038,0.24557732279383573,0.32306201016763225,0.0189385353175604
17889,0001214659-24-017295,2024-10-01,2024Q4,28,1,93083,0001214659-24-017295,0.01066393358949735,10.646293091704193,-2.177740067420298,4.3664926391910655,0.11464399355463684,0.05310878097435024
17889,0001214659-24-017295,2024-10-01,2024Q4,28,1,88511,0001214659-24-017295,0.011609623694127344,10.358038971434176,-1.7815035944774615,1.1937149741941446,-0.4887990087736398,0.057577648208498845
17889,0001214659-24-017295,2024-10-01,2024Q4,28,1,18458,0001214659-24-017295,0.04024892744930165,11.09811310711892,-2.6574107206327784,0.5300569054465103,0.0075910239247605205,0.048418277703370725
15016,0001140361-22-041635,2022-11-09,2022Q4,38,0,90288,0001140361-22-041635,0.09378157552555687,9.299940644880948,-1.7254222949153633,26.659672428708618,-0.642355979885906,0.07577366315523447
85177,0001085146-23-002486,2023-05-25,2023Q2,73,0,93266,0001085146-23-002486,0.014661615872558709,13.0950349751704,-5.453431150935589,0.83333246886969,-0.11384300567442551,0.03399650502851366
85177,0001085146-23-002486,2023-05-25,2023Q2,73,0,21120,0001085146-23-002486,0.017003633397304086,13.265715441486504,-5.57753390990244,3.1923560317408124,-0.18927199160680175,0.033935916622667255
85177,0001085146-23-002486,2023-05-25,2023Q2,73,0,10890,0001085146-23-002486,0.019605686989912767,12.612864539734932,-4.717268677784379,4.498344483876794,-0.3371280007995665,0.0567468737541669
21737,0001140361-22-027287,2022-07-19,2022Q3,73,0,10257,0001140361-22-027287,0.016582342059599686,12.176416105512448,-2.8203040194334084,0.1391773368872238,0.0713169836672023,0.03733725878634995
21737,0001140361-22-027287,2022-07-19,2022Q3,73,0,16805,0001140361-22-027287,0.04107894426270631,12.840450365210513,-3.7732722739266653,0.14117387995136604,-0.18449801366659813,0.02420193681369707
21737,0001140361-22-027287,2022-07-19,2022Q3,73,0,20996,0001140361-22-027287,0.06399456008638817,12.556721770634466,-3.0349762708916788,0.9071994441687858,-1.093047002563253,0.07639939772717119
92468,0001213900-23-000847,2022-12-20,2022Q4,28,0,19993,0001213900-23-000847,0.020405157633100912,10.116095801934955,0.09022926939001942,1.7325342308894085,-0.3480880130082369,0.050318893847556216
92468,0001213900-23-000847,2022-12-20,2022Q4,28,0,86728,0001213900-23-000847,0.04976489075427166,10.609051327151146,-0.19951507544468133,0.20403036225726728,-0.22993998948368244,0.0478894562974955
92468,0001213900-23-000847,2022-12-20,2022Q4,28,0,18997,0001213900-23-000847,0.11849659753552406,10.008363650882831,0.02157478271993378,6.376493888927059,-1.0921640100714285,0.06593538034830564
81241,0001104659-23-100860,2023-09-08,2023Q3,35,0,86822,0001104659-23-100860,0.010538709821410313,15.076582958733782,-7.834777069948848,0.6752869462405723,0.45738499669823796,0.02790754822360616
81241,0001104659-23-100860,2023-09-08,2023Q3,35,0,89110,0001104659-23-100860,0.012172906391319094,14.762870593416663,-7.340047601785573,0.13399777719302625,0.21373998714261688,0.025712398145090458
81241,0001104659-23-100860,2023-09-08,2023Q3,35,0,27983,0001104659-23-100860,0.06373481268877654,14.766912648069619,-7.138343572190413,0.6167537313797194,0.20781000109855086,0.02164830990096389
84607,0000921895-23-002068,2023-08-17,2023Q3,36,0,22179,0000921895-23-002068,0.008547966439170747,10.452814881030783,-1.6255005542208611,11.051842113692274,-0.8832229750405531,0.061381060835425584
84607,0000921895-23-002068,2023-08-17,2023Q3,36,0,23062,0000921895-23-002068,0.033899325875173386,10.466180885681785,-1.536634512300669,1.392695607394897,2.6111979783745483,0.1400538739268346
84607,0000921895-23-002068,2023-08-17,2023Q3,36,0,14313,0000921895-23-002068,1.058725463091949,11.105041433624754,-1.4868370645699729,0.23725138112125257,0.14327198690898513,0.033009339438652106
19585,0001104659-24-041578,2024-03-28,2024Q1,28,1,17125,0001104659-24-041578,0.010403421935571715,14.819929083403096,-6.578470268526286,0.4337249767628822,-0.247889010963263,0.045585991536912195
19585,0001104659-24-041578,2024-03-28,2024Q1,28,1,86026,0001104659-24-041578,0.010620429179051389,14.966389968695806,-6.888619037041153,0.03206271233708942,0.2299739994778065,0.012342927489683075
19585,0001104659-24-041578,2024-03-28,2024Q1,28,1,13410,0001104659-24-041578,0.011924603216838353,14.451797503753886,-6.218320389038955,0.23173426666788258,0.17780899914214388,0.022847867952812746
19082,0001493152-22-016439,2022-06-07,2022Q2,38,0,82621,0001493152-22-016439,0.03433243124055584,11.05130055600686,-1.1217918895350967,1.7586592561171788,-0.4519560160115361,0.051234653917031255
19082,0001493152-22-016439,2022-06-07,2022Q2,38,0,76928,0001493152-22-016439,0.09295179281716931,11.980175306019342,-2.044337142056557,0.08355458127773253,-0.3664450209180359,0.03676889063793039
19082,0001493152-22-016439,2022-06-07,2022Q2,38,0,15496,0001493152-22-016439,0.23812417550090187,11.188813405663566,-1.7903007273312728,5.040193036295981,-1.0337449664366432,0.050609381515174044
31668,0001214659-23-004528,2023-03-30,2023Q1,73,0,74500,0001214659-23-004528,0.03065816292698716,9.713512784488394,0.5989461814671427,0.26010332043439593,0.09184099141839397,0.03515644696939565
31668,0001214659-23-004528,2023-03-30,2023Q1,73,0,16458,0001214659-23-004528,0.30854697194543607,9.686309919687492,0.1526559124074466,1.7687853619929292,0.09659499681583839,0.06553680529928577
31668,0001214659-23-004528,2023-03-30,2023Q1,73,0,83844,0001214659-23-004528,0.39025474088448314,10.488485332110312,0.29924971248630633,0.6562350524664398,-0.18948501348495483,0.037005779508335994
16631,0001193805-22-000143,2022-01-27,2022Q1,47,0,83272,0001193805-22-000143,0.002802179218811954,14.782844806634154,-6.760826083034308,0.057485726987560985,0.12659099223674275,0.01486027650666813
16631,0001193805-22-000143,2022-01-27,2022Q1,47,0,12036,0001193805-22-000143,0.06696977165549874,15.033687997082168,-6.836680307283054,0.034626009758537475,0.02860200389113743,0.014064795342754828
21947,0001213900-24-059094,2024-07-01,2024Q3,61,1,21920,0001213900-24-059094,0.007061690149434925,9.98381791114186,-1.5761888190633022,5.994108444811225,0.8638950220774859,0.07305513077702294
79150,0000902664-23-004496,2023-08-09,2023Q3,38,0,90179,0000902664-23-004496,0.0025275791284900652,12.709438937527032,-5.092354392528657,0.9062098941446389,-0.2991529967985116,0.03395562868265646
79150,0000902664-23-004496,2023-08-09,2023Q3,38,0,18418,0000902664-23-004496,0.014698206698892581,12.631729194225722,-4.833849916591308,0.8626865203422243,-0.2710729968966916,0.04319986236615473
79150,0000902664-23-004496,2023-08-09,2023Q3,38,0,79611,0000902664-23-004496,0.02314153519388339,12.972181909821543,-5.46559694026092,0.359527692853938,-0.04239199394942261,0.020421770343640067
85013,0001214659-22-011815,2022-09-27,2022Q3,38,0,85567,0001214659-22-011815,0.03351662865006635,10.980615871243316,-1.8934332801308038,0.7798377865511052,-0.4398049950832501,0.04315381139811878
85013,0001214659-22-011815,2022-09-27,2022Q3,38,0,19022,0001214659-22-011815,0.034985685662443027,11.870089359353207,-2.9024912095260444,0.9930132492667646,-0.43822802405338734,0.037897001094875676
85013,0001214659-22-011815,2022-09-27,2022Q3,38,0,76908,0001214659-22-011815,0.04982180070485028,11.705003109330903,-2.871209740919511,19.509186316535214,-0.3169219908595551,0.04916014087800596
26825,0001341004-24-000139,2024-08-13,2024Q3,20,1,10516,0001341004-24-000139,0.014787224336565541,17.141204691553465,-9.821257262053136,0.1247579949927956,-0.17671999684534967,0.02403165101102459
26825,0001341004-24-000139,2024-08-13,2024Q3,20,1,17144,0001341004-24-000139,0.034765669453986014,17.46430608105957,-10.172589055849674,0.10381507357047848,0.09921799597213976,0.015704483187339052
26825,0001341004-24-000139,2024-08-13,2024Q3,20,1,32870,0001341004-24-000139,0.04550463512535807,16.679384943517697,-8.99530494267515,0.13310731639739987,0.06032499682623893,0.018832342582794155
20818,0001213900-23-026269,2023-03-23,2023Q1,73,0,20818,0001213900-23-026269,0.0,11.627174262558354,1.416489805150849,0.4703702078986366,0.08133899761651264,0.015976230172937055
15433,0000921895-23-001309,2023-05-11,2023Q2,28,0,19251,0000921895-23-001309,0.006208525267979159,10.937842347241498,-1.506261221031563,2.3568406610932624,-0.48156798258423805,0.04512491336777378
15433,0000921895-23-001309,2023-05-11,2023Q2,28,0,88511,0000921895-23-001309,0.00928050134423606,11.261607336682477,-2.012022098985692,7.059296354827403,0.04134802341286559,0.048966044823926566
15433,0000921895-23-001309,2023-05-11,2023Q2,28,0,13693,0000921895-23-001309,0.015566059713495546,11.372099646879935,-2.055551350809532,4.3810137974950365,-0.159917997661978,0.038942412282000446
89891,0001140361-24-016912,2024-03-25,2024Q1,38,1,10550,0001140361-24-016912,0.0023728841620783135,10.997457582576203,-1.3800761281822758,0.10616897459154247,-0.027853007892190362,0.027596571569125813
