cik,name,event_date,form,accession,route,confirm_detail
0001350102,"Ascent Solar Technologies, Inc.",2022-12-20,8-K,0001213900-22-081155,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001350102,"Ascent Solar Technologies, Inc.",2023-04-21,8-K,0001213900-23-031708,A,8k-text:merger:1;target:1;acquirer:1;nonmerger:4;via-primary
0001353538,"Appgate, Inc.",2021-10-15,8-K,0001213900-21-052921,A,8k-text:merger:3;target:2;acquirer:3;defence:1;nonmerger:5;via-primary
0001356093,"CREATIVE REALITIES, INC.",2025-02-18,8-K,0001437749-25-004128,A,8k-text:merger:3;via-primary
0001356093,"CREATIVE REALITIES, INC.",2025-02-24,8-K,0001437749-25-004829,A,8k-text:merger:3;via-primary
0001358356,"LIMESTONE BANCORP, INC.",2022-10-25,8-K,0001157523-22-001370,A,8k-text:merger:3;via-primary
0001359841,Hanesbrands Inc.,2025-12-01,8-K,0001193125-25-303276,A,8k-text:merger:3;target:3;acquirer:2;nonmerger:4;via-primary
0001360604,Healthcare Realty Trust Inc,2022-03-01,8-K,0001193125-22-058710,A,8k-text:merger:3;via-primary
0001363829,Enstar Group LTD,2024-07-29,8-K,0001104659-24-083286,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001368622,AeroVironment Inc,2024-11-19,8-K,0001104659-24-120356,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001386278,GREEN DOT CORP,2025-11-26,8-K,0001140361-25-043544,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001393726,TIPTREE INC.,2025-09-26,8-K,0001193125-25-218437,A,8k-text:merger:3;via-primary
0001393726,TIPTREE INC.,2026-04-30,8-K,0001393726-26-000025,A,8k-text:merger:3;via-primary
0001396814,"Pacira BioSciences, Inc.",2021-10-12,SC TO-C,0001104659-21-124896,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001396814,"Pacira BioSciences, Inc.",2021-10-22,SC TO-T,0001104659-21-128700,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001397702,Silk Road Medical Inc,2024-06-18,8-K,0001104659-24-072846,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001397702,Silk Road Medical Inc,2024-09-17,8-K,0001140361-24-041264,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001398987,Anywhere Real Estate Inc.,2026-01-09,8-K,0001193125-26-008327,A,8k-text:merger:3;target:2;acquirer:2;via-primary
0001399249,"Pzena Investment Management, Inc.",2022-07-28,8-K,0001193125-22-204112,A,8k-text:merger:3;via-primary
0001403256,"Sculptor Capital Management, Inc.",2023-07-24,8-K,0001193125-23-191866,A,8k-text:merger:3;via-primary
0001403256,"Sculptor Capital Management, Inc.",2023-10-12,8-K,0001140361-23-047961,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001403256,"Sculptor Capital Management, Inc.",2023-10-27,8-K,0001140361-23-049832,A,8k-text:merger:3;via-primary
0001404644,"Neoleukin Therapeutics, Inc.",2023-07-18,8-K,0001193125-23-188522,A,8k-text:merger:3;target:1;acquirer:2;defence:1;via-primary
0001408100,"Kennedy-Wilson Holdings, Inc.",2026-03-16,8-K,0001140361-26-009460,A,8k-text:merger:3;via-primary
0001408534,"First Guaranty Bancshares, Inc.",2023-01-09,8-K,0001408534-23-000003,A,8k-text:merger:3;via-primary
0001413837,First Foundation Inc.,2021-12-20,8-K,0001558370-21-016923,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001413837,First Foundation Inc.,2025-10-30,8-K,0001104659-25-104430,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001413837,First Foundation Inc.,2026-04-01,8-K,0001104659-26-038418,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001413898,DallasNews Corp,2025-07-28,8-K,0001193125-25-165887,A,8k-text:merger:4;target:1;acquirer:1;defence:2;nonmerger:1;via-primary
0001414767,Netcapital Inc.,2022-07-15,8-K,0001903596-22-000458,A,8k-text:merger:2;target:1;acquirer:1;nonmerger:1;via-primary
0001414932,Oaktree Specialty Lending Corp,2022-09-15,8-K,0001193125-22-245119,A,8k-text:merger:3;via-primary
0001417663,"SANUWAVE Health, Inc.",2023-08-23,8-K,0001140361-23-041023,A,8k-text:merger:4;target:2;acquirer:1;defence:1;via-primary
0001417663,"SANUWAVE Health, Inc.",2024-04-26,8-K,0001140361-24-022257,A,8k-text:merger:3;via-primary
0001417663,"SANUWAVE Health, Inc.",2024-06-03,8-K,0001140361-24-028567,A,8k-text:merger:3;via-primary
0001418076,SLR Investment Corp.,2021-12-01,8-K,0001193125-21-345547,A,8k-text:merger:3;via-primary
0001418076,SLR Investment Corp.,2022-04-01,8-K,0001193125-22-092898,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001419275,RYVYL Inc.,2026-05-21,8-K,0001185185-26-002057,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001422142,"Aadi Bioscience, Inc.",2021-08-27,8-K,0001193125-21-257910,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:3;via-primary
0001422183,FS KKR Capital Corp,2023-05-01,8-K,0001104659-23-054565,A,8k-text:merger:2;via-primary
0001427570,ReShape Lifesciences Inc.,2021-01-20,8-K,0001558370-21-000289,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001427570,ReShape Lifesciences Inc.,2021-06-15,8-K,0001104659-21-081562,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001427570,ReShape Lifesciences Inc.,2025-04-21,8-K,0001104659-25-036837,A,8k-text:merger:3;via-primary
0001427570,ReShape Lifesciences Inc.,2025-07-03,8-K,0001104659-25-065782,A,8k-text:merger:3;via-primary
0001433195,APPFOLIO INC,2024-10-24,8-K,0001433195-24-000125,A,8k-text:merger:3;via-primary
0001445283,"KINETA, INC./DE",2022-06-06,8-K,0001193125-22-168306,A,8k-text:merger:3;target:2;acquirer:1;defence:1;nonmerger:1;via-primary
0001445283,"KINETA, INC./DE",2022-12-22,8-K,0001193125-22-311158,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:2;via-primary
0001445283,"KINETA, INC./DE",2024-07-08,8-K,0000950170-24-081936,A,8k-text:merger:2;target:1;acquirer:1;via-primary
0001449488,CSI Compressco LP,2023-12-19,8-K,0001193125-23-298723,A,8k-text:merger:3;via-primary
0001450704,"Vivakor, Inc.",2024-03-01,8-K,0001829126-24-001257,A,8k-text:merger:4;via-primary
0001453687,"Cartesian Therapeutics, Inc.",2023-11-13,8-K,0001193125-23-275461,A,8k-text:merger:3;target:3;acquirer:2;defence:1;nonmerger:1;via-primary
0001454789,"Astria Therapeutics, Inc.",2025-10-14,8-K,0001104659-25-098998,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001454789,"Astria Therapeutics, Inc.",2026-01-23,8-K,0001104659-26-006228,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001464790,"B. Riley Financial, Inc.",2021-01-11,SC TO-C,0001213900-21-001504,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001464790,"B. Riley Financial, Inc.",2021-01-27,SC TO-T,0001213900-21-004657,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001464790,"B. Riley Financial, Inc.",2021-09-13,SC TO-C,0001213900-21-047674,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001464790,"B. Riley Financial, Inc.",2021-09-23,SC TO-T,0001213900-21-049570,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001467761,"MINIM, INC.",2024-03-18,8-K,0001829126-24-001674,A,8k-text:merger:3;via-primary
0001467761,"MINIM, INC.",2024-06-21,8-K,0001829126-24-004371,A,8k-text:merger:3;via-primary
0001468492,"Heart Test Laboratories, Inc.",2026-07-27,8-K,0001213900-26-081825,A,8k-text:merger:3;via-primary
0001468492,"Heart Test Laboratories, Inc.",2026-08-18,8-K,0001213900-26-091301,A,8k-text:merger:3;via-primary
0001477720,"Asana, Inc.",2022-09-07,8-K,0001193125-22-239995,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0001479290,"Revance Therapeutics, Inc.",2024-12-12,8-K,0001140361-24-049072,A,8k-text:merger:4;via-primary
0001479681,"Nutex Health, Inc.",2021-11-24,8-K,0001607062-21-000563,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001479681,"Nutex Health, Inc.",2022-04-04,8-K,0001607062-22-000244,A,8k-text:merger:3;target:1;acquirer:2;defence:1;nonmerger:1;via-primary
0001485003,Carisma Therapeutics Inc.,2022-09-21,8-K,0001485003-22-000135,A,8k-text:merger:3;target:2;acquirer:1;defence:1;nonmerger:1;via-primary
0001485003,Carisma Therapeutics Inc.,2023-03-08,8-K,0001104659-23-029687,A,8k-text:merger:3;target:1;acquirer:1;defence:1;nonmerger:4;via-primary
0001496963,"Squarespace, Inc.",2024-09-09,8-K,0001140361-24-040626,A,8k-text:merger:4;target:1;acquirer:1;via-primary
0001496963,"Squarespace, Inc.",2024-10-17,8-K,0001140361-24-043631,A,8k-text:merger:4;target:2;acquirer:1;nonmerger:1;via-primary
0001498233,"Cepton, Inc.",2022-01-24,8-K,0001213900-22-003200,A,8k-text:merger:1;via-primary
0001498233,"Cepton, Inc.",2022-02-09,8-K,0001213900-22-006199,A,8k-text:merger:1;via-primary
0001498233,"Cepton, Inc.",2024-07-29,8-K,0001013762-24-001769,A,8k-text:merger:4;target:2;acquirer:1;via-primary
0001498233,"Cepton, Inc.",2025-01-07,8-K,0001213900-25-001480,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001498382,"TuHURA Biosciences, Inc./NV",2024-04-03,8-K,0000950170-24-040655,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001498382,"TuHURA Biosciences, Inc./NV",2024-10-21,8-K,0000950170-24-115765,A,8k-text:merger:3;target:2;acquirer:1;defence:1;nonmerger:3;via-primary
0001498382,"TuHURA Biosciences, Inc./NV",2024-12-12,8-K,0001193125-24-276426,A,8k-text:merger:3;via-primary
0001498382,"TuHURA Biosciences, Inc./NV",2025-06-30,8-K,0000950170-25-091693,A,8k-text:merger:3;via-primary
0001499717,"Staffing 360 Solutions, Inc.",2025-01-28,8-K,0001493152-25-003989,A,8k-text:merger:3;via-primary
0001499717,"Staffing 360 Solutions, Inc.",2025-02-05,8-K,0001493152-25-005005,A,8k-text:merger:3;via-primary
0001499961,"BOLLINGER INNOVATIONS, INC.",2021-04-30,8-K,0001437749-21-010466,A,8k-text:merger:3;via-primary
0001499961,"BOLLINGER INNOVATIONS, INC.",2021-05-14,8-K,0001437749-21-012347,A,8k-text:merger:3;via-primary
0001499961,"BOLLINGER INNOVATIONS, INC.",2021-08-19,8-K,0001437749-21-020464,A,8k-text:merger:3;via-primary
0001501756,"Adverum Biotechnologies, Inc.",2025-10-24,8-K,0001193125-25-249438,A,8k-text:merger:4;target:2;acquirer:1;defence:1;via-primary
0001506928,Avinger Inc,2024-03-07,8-K,0001437749-24-006895,A,8k-text:merger:1;target:1;acquirer:1;defence:1;nonmerger:4;via-primary
0001509589,"CIVITAS RESOURCES, INC.",2026-01-30,8-K,0001104659-26-008521,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001512228,NIOCORP DEVELOPMENTS LTD,2023-02-24,8-K,0001539497-23-000339,A,8k-text:merger:1;via-primary
0001512228,NIOCORP DEVELOPMENTS LTD,2023-03-17,8-K,0001539497-23-000458,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0001512922,"PetVivo Holdings, Inc.",2026-06-25,8-K,0001493152-26-030193,A,8k-text:merger:3;via-primary
0001514056,"TRAQIQ, INC.",2024-01-11,8-K,0001493152-24-002011,A,8k-text:merger:3;via-primary
0001514281,"AG Mortgage Investment Trust, Inc.",2023-08-09,8-K,0001514281-23-000089,A,8k-text:merger:3;via-primary
0001515139,"METAWORKS PLATFORMS, INC.",2021-08-18,8-K,0001493152-21-020513,A,8k-text:merger:1;via-primary
0001516551,"Skye Bioscience, Inc.",2022-05-12,8-K,0001516551-22-000010,A,8k-text:merger:1;target:1;acquirer:1;nonmerger:1;via-primary
0001517767,Vertical Capital Income Fund,2023-01-13,8-K,0001580642-23-000214,A,8k-text:merger:1;via-primary
0001518715,Mechanics Bancorp,2024-01-19,8-K,0001518715-24-000035,A,8k-text:merger:3;via-primary
0001518715,Mechanics Bancorp,2024-04-30,8-K,0001518715-24-000108,A,8k-text:merger:3;via-primary
0001518715,Mechanics Bancorp,2025-09-02,8-K,0001140361-25-033560,A,8k-text:merger:3;target:1;acquirer:3;defence:1;nonmerger:2;via-primary
0001524358,MARRIOTT VACATIONS WORLDWIDE Corp,2021-01-26,8-K,0001524358-21-000007,A,8k-text:merger:3;via-primary
0001526113,"Global Net Lease, Inc.",2023-09-12,8-K,0001104659-23-100026,A,8k-text:merger:3;target:1;acquirer:1;defence:1;nonmerger:7;via-primary
0001526113,"Global Net Lease, Inc.",2026-05-04,8-K,0001104659-26-054379,A,8k-text:merger:3;via-primary
0001526113,"Global Net Lease, Inc.",2026-08-13,8-K,0001104659-26-095323,A,8k-text:merger:3;via-primary
0001527541,"Wheeler Real Estate Investment Trust, Inc.",2022-03-07,8-K,0001213900-22-010828,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001527599,"SYNLOGIC, INC.",2026-07-29,8-K,0001193125-26-322160,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001527728,Enochian Biosciences Inc,2025-01-07,8-K,0001731122-25-000037,A,8k-text:merger:1;via-primary
0001527728,Enochian Biosciences Inc,2025-02-28,8-K,0001731122-25-000312,A,8k-text:merger:3;via-primary
0001527728,Enochian Biosciences Inc,2025-03-06,8-K,0001731122-25-000354,A,8k-text:merger:1;via-primary
0001528930,"Franchise Group, Inc.",2023-08-21,8-K,0001104659-23-093924,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001529113,"XTI Aerospace, Inc.",2022-04-28,8-K,0001213900-22-022370,A,8k-text:merger:1;via-primary
0001529113,"XTI Aerospace, Inc.",2023-02-28,8-K,0001213900-23-015042,A,8k-text:merger:3;via-primary
0001529113,"XTI Aerospace, Inc.",2024-02-23,8-K,0001213900-24-016458,A,8k-text:merger:3;via-primary
0001529113,"XTI Aerospace, Inc.",2024-06-24,8-K,0001213900-24-055284,A,8k-text:merger:1;via-primary
0001529113,"XTI Aerospace, Inc.",2024-10-02,8-K,0001213900-24-084720,A,8k-text:merger:1;via-primary
0001529113,"XTI Aerospace, Inc.",2024-10-04,8-K,0001213900-24-085631,A,8k-text:merger:1;via-primary
0001534133,"CalciMedica, Inc.",2022-11-22,8-K,0001193125-22-290244,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001534133,"CalciMedica, Inc.",2023-02-16,8-K,0001193125-23-041092,A,8k-text:merger:3;via-primary
0001534133,"CalciMedica, Inc.",2023-03-22,8-K,0001193125-23-076714,A,8k-text:merger:3;target:2;acquirer:2;defence:1;nonmerger:1;via-primary
0001534248,Chemomab Therapeutics Ltd.,2021-03-17,8-K,0001104659-21-037294,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:1;via-primary
0001534504,PBF Energy Inc.,2022-07-28,8-K,0001193125-22-204095,A,8k-text:merger:3;via-primary
0001534504,PBF Energy Inc.,2022-11-30,8-K,0001140361-22-043682,A,8k-text:merger:3;via-primary
0001537917,"TYME TECHNOLOGIES, INC.",2022-07-05,8-K,0001193125-22-187526,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001537917,"TYME TECHNOLOGIES, INC.",2022-09-16,8-K,0001193125-22-246379,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001538716,Oportun Financial Corp,2021-11-16,8-K,0001538716-21-000239,A,8k-text:merger:2;target:1;acquirer:3;via-primary
0001539838,"Diamondback Energy, Inc.",2022-05-16,8-K,0001193125-22-151938,A,8k-text:merger:3;via-primary
0001544227,"Tempest Therapeutics, Inc.",2021-03-29,8-K,0001104659-21-042768,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001544227,"Tempest Therapeutics, Inc.",2021-06-28,8-K,0001193125-21-201157,A,8k-text:merger:3;target:2;acquirer:2;nonmerger:2;via-primary
0001553788,"SPLASH BEVERAGE GROUP, INC.",2021-11-15,8-K,0001731122-21-001946,A,8k-text:merger:2;target:3;acquirer:1;via-primary
0001559998,"Gaucho Group Holdings, Inc.",2021-06-17,8-K,0001493152-21-014635,A,8k-text:merger:1;via-primary
0001560385,Liberty Media Corp,2023-12-12,8-K,0001104659-23-125392,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:3;via-primary
0001563577,"Galera Therapeutics, Inc.",2026-04-14,8-K,0001193125-26-154009,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001563577,"Galera Therapeutics, Inc.",2026-08-04,8-K,0001193125-26-331207,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001566826,"LogicMark, Inc.",2024-11-01,8-K,0001213900-24-093557,A,8k-text:merger:1;target:3;acquirer:1;defence:3;via-primary
0001566826,"LogicMark, Inc.",2026-08-03,8-K,0001213900-26-084705,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001567683,"Clearway Energy, Inc.",2026-05-01,8-K,0001104659-26-053557,A,8k-text:merger:1;via-primary
0001567892,Mallinckrodt plc,2022-06-22,8-K,0001193125-22-178880,A,8k-text:merger:1;target:1;acquirer:1;defence:1;nonmerger:9;via-primary
0001567892,Mallinckrodt plc,2025-03-13,8-K,0001104659-25-023217,A,8k-text:merger:1;target:1;acquirer:1;via-primary
0001571329,Logan Ridge Finance Corp.,2025-02-04,8-K,0001193125-25-020019,A,8k-text:merger:3;via-primary
0001571498,"Epizyme, Inc.",2022-06-27,8-K,0001193125-22-182030,A,8k-text:merger:4;target:3;acquirer:1;defence:1;via-primary
0001576427,Criteo S.A.,2026-08-05,8-K,0001628280-26-053414,A,8k-text:merger:3;via-primary
0001576914,MiX Telematics Ltd,2023-10-10,8-K,0001628280-23-034114,A,8k-text:text-truncated:master-txt-truncated
0001580490,I-ON Digital Corp.,2022-01-04,8-K,0001140361-22-000520,A,8k-text:merger:2;via-primary
0001580864,"Vroom, Inc.",2021-10-12,8-K,0000950170-21-002077,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001582554,"Matinas BioPharma Holdings, Inc.",2026-07-13,8-K,0001493152-26-032938,A,8k-text:merger:1;target:3;acquirer:1;nonmerger:1;via-primary
0001589061,"Gyrodyne, LLC",2023-08-01,8-K,0001437749-23-021419,A,8k-text:merger:1;via-primary
0001590496,Aerkomm Inc.,2024-05-20,8-K,0001213900-24-044826,A,8k-text:merger:1;via-primary
0001590496,Aerkomm Inc.,2024-08-13,8-K,0001213900-24-068082,A,8k-text:merger:1;via-primary
0001590496,Aerkomm Inc.,2024-12-04,8-K,0001213900-24-105613,A,8k-text:merger:1;via-primary
0001590496,Aerkomm Inc.,2026-04-27,8-K,0001213900-26-047886,A,8k-text:merger:3;via-primary
0001590715,American Resources Corp,2024-07-02,8-K,0001654954-24-008559,A,8k-text:merger:1;target:2;acquirer:1;defence:1;via-primary
0001590715,American Resources Corp,2025-01-06,8-K,0001654954-25-000116,A,8k-text:merger:1;via-primary
0001593184,"BIOREGENX, INC.",2023-01-06,8-K,0001800943-23-000001,A,8k-text:merger:1;via-primary
0001593184,"BIOREGENX, INC.",2024-04-01,8-K,0001683168-24-001917,A,8k-text:merger:1;via-primary
0001594555,"HV Bancorp, Inc.",2022-10-20,8-K,0001564590-22-034756,A,8k-text:merger:3;via-primary
0001596961,"RumbleOn, Inc.",2021-07-27,8-K,0001654954-21-008227,A,8k-text:merger:1;via-primary
0001597553,"Sage Therapeutics, Inc.",2025-07-31,8-K,0001193125-25-170187,A,8k-text:merger:4;target:4;acquirer:1;via-primary
0001600620,Aurinia Pharmaceuticals Inc.,2026-04-13,SC TO-T,0001140361-26-014344,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001601485,"Elicio Therapeutics, Inc.",2023-01-17,8-K,0001140361-23-001714,A,8k-text:merger:3;target:3;acquirer:1;via-primary
0001601485,"Elicio Therapeutics, Inc.",2023-06-02,8-K,0001140361-23-028077,A,8k-text:merger:3;target:2;acquirer:2;nonmerger:3;via-primary
0001601548,"V2X, Inc.",2022-08-19,8-K,0001104659-22-092949,A,8k-text:merger:3;via-primary
0001603207,"Notable Labs, Ltd.",2023-10-16,8-K,0001493152-23-037344,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:2;via-primary
0001604191,"Entero Therapeutics, Inc.",2023-06-16,8-K,0001104659-23-072266,A,8k-text:merger:1;via-primary
0001604191,"Entero Therapeutics, Inc.",2023-09-15,8-K,0001104659-23-101193,A,8k-text:merger:1;via-primary
0001604191,"Entero Therapeutics, Inc.",2023-12-27,8-K,0001104659-23-129764,A,8k-text:merger:1;via-primary
0001604191,"Entero Therapeutics, Inc.",2024-07-11,8-K,0001104659-24-079101,A,8k-text:merger:1;via-primary
0001604191,"Entero Therapeutics, Inc.",2025-07-16,8-K,0001104659-25-068362,A,8k-text:merger:3;via-primary
0001604191,"Entero Therapeutics, Inc.",2026-01-07,8-K,0001104659-26-001755,A,8k-text:merger:2;via-primary
0001604738,Ashford Inc.,2022-08-31,8-K,0001104659-22-096210,A,8k-text:merger:1;target:1;acquirer:1;defence:1;via-primary
0001605607,"Paramount Group, Inc.",2025-09-17,8-K,0001193125-25-205552,A,8k-text:merger:3;target:1;acquirer:2;nonmerger:1;via-primary
0001605607,"Paramount Group, Inc.",2025-12-19,8-K,0001193125-25-326808,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001605888,ATLANTIC INTERNATIONAL CORP.,2024-06-25,8-K,0001213900-24-055741,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:7;via-primary
0001605888,ATLANTIC INTERNATIONAL CORP.,2024-09-16,8-K,0001213900-24-079021,A,8k-text:merger:2;via-primary
0001605888,ATLANTIC INTERNATIONAL CORP.,2025-01-13,8-K,0001213900-25-003018,A,8k-text:merger:3;via-primary
0001606745,"Liberty TripAdvisor Holdings, Inc.",2024-12-19,8-K,0001104659-24-129967,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
0001606745,"Liberty TripAdvisor Holdings, Inc.",2025-03-21,8-K,0001104659-25-026690,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:4;via-primary
0001607962,ReWalk Robotics Ltd.,2023-08-09,8-K,0001178913-23-002776,A,8k-text:merger:2;via-primary
0001607962,ReWalk Robotics Ltd.,2023-08-11,8-K,0001178913-23-002836,A,8k-text:merger:2;via-primary
0001609988,flooidCX Corp.,2023-02-15,8-K,0001477932-23-001072,A,8k-text:merger:1;via-primary
0001609988,flooidCX Corp.,2023-03-23,8-K,0001477932-23-001703,A,8k-text:merger:3;via-primary
0001609988,flooidCX Corp.,2023-03-30,8-K,0001477932-23-001919,A,8k-text:merger:3;via-primary
0001609988,flooidCX Corp.,2023-11-02,8-K,0001477932-23-008042,A,8k-text:merger:2;via-primary
0001609988,flooidCX Corp.,2024-03-25,8-K,0001477932-24-001438,A,8k-text:merger:3;via-primary
0001610853,"HELIUS MEDICAL TECHNOLOGIES, INC.",2025-01-24,8-K,0001558370-25-000407,A,8k-text:merger:1;via-primary
0001614806,Great Ajax Corp.,2023-07-03,8-K,0001104659-23-077386,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
0001615219,"Salarius Pharmaceuticals, Inc.",2025-06-11,8-K,0001615219-25-000062,A,8k-text:merger:3;via-primary
0001615219,"Salarius Pharmaceuticals, Inc.",2025-07-21,8-K,0001615219-25-000072,A,8k-text:merger:3;via-primary
0001615219,"Salarius Pharmaceuticals, Inc.",2025-07-29,8-K,0001615219-25-000078,A,8k-text:merger:3;via-primary
0001615219,"Salarius Pharmaceuticals, Inc.",2025-09-18,8-K,0001615219-25-000135,A,8k-text:merger:3;via-primary
0001616318,Vista Outdoor Inc.,2023-10-16,8-K,0001193125-23-256539,A,8k-text:merger:3;target:2;acquirer:3;nonmerger:1;via-primary
0001616318,Vista Outdoor Inc.,2024-11-27,8-K,0001616318-24-000122,A,8k-text:merger:3;target:2;acquirer:1;nonmerger:5;via-primary
0001620179,"Exela Technologies, Inc.",2022-05-19,8-K,0001104659-22-062966,A,8k-text:merger:1;via-primary
0001621672,"Super League Gaming, Inc.",2021-04-21,8-K,0001654954-21-004454,A,8k-text:merger:3;via-primary
0001625297,INDIVIOR PLC,2026-08-03,8-K,0001193125-26-329513,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001630176,HEALTHY EXTRACTS INC.,2025-10-02,8-K,0001096906-25-001627,A,8k-text:merger:3;via-primary
0001633932,ESSA Pharma Inc.,2025-09-24,8-K,0001104659-25-092710,A,8k-text:merger:1;via-primary
0001640384,"LM FUNDING AMERICA, INC.",2022-11-03,8-K,0000950170-22-021948,A,8k-text:merger:4;via-primary
0001640455,"Jounce Therapeutics, Inc.",2023-02-23,8-K,0001640455-23-000018,A,8k-text:merger:1;target:1;acquirer:2;defence:1;nonmerger:3;via-primary
0001641614,CPI Card Group Inc.,2025-05-07,8-K,0001558370-25-006601,A,8k-text:merger:3;via-primary
0001643303,Nano Dimension Ltd.,2023-04-04,SC TO-C,0001213900-23-026738,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001643303,Nano Dimension Ltd.,2023-04-05,SC TO-C,0001213900-23-027359,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001643303,Nano Dimension Ltd.,2023-04-19,SC TO-C,0001213900-23-031029,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001643303,Nano Dimension Ltd.,2023-05-25,SC TO-T,0001213900-23-042859,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001645666,"Kezar Life Sciences, Inc.",2026-03-30,8-K,0001193125-26-130486,A,8k-text:merger:3;target:3;acquirer:1;defence:2;nonmerger:2;via-primary
0001646188,Ondas Holdings Inc.,2022-11-14,8-K,0001213900-22-072373,A,8k-text:merger:1;via-primary
0001648365,"TINGO, INC.",2022-12-05,8-K,0001104659-22-124518,A,8k-text:merger:3;via-primary
0001649749,FB Financial Corp,2025-07-08,8-K,0001104659-25-066404,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:2;via-primary
0001652958,"Edgemode, Inc.",2021-12-08,8-K,0001683168-21-006187,A,8k-text:merger:3;target:1;acquirer:2;via-primary
0001652958,"Edgemode, Inc.",2021-12-16,8-K,0001683168-21-006398,A,8k-text:merger:3;target:1;acquirer:1;via-primary
0001652958,"Edgemode, Inc.",2022-02-07,8-K,0001683168-22-000702,A,8k-text:merger:3;target:2;acquirer:3;nonmerger:2;via-primary
0001658566,Permian Resources Corp,2023-08-21,8-K,0001193125-23-217088,A,8k-text:merger:3;target:1;acquirer:1;defence:1;via-primary
0001662774,"Quince Therapeutics, Inc.",2023-04-05,8-K,0001193125-23-092414,A,8k-text:merger:1;target:2;acquirer:1;defence:2;via-primary
0001662991,Sezzle Inc.,2022-07-12,8-K,0001213900-22-038907,A,8k-text:merger:3;via-primary
0001665988,Bioventus Inc.,2021-03-31,8-K,0001193125-21-100715,A,8k-text:merger:3;via-primary
0001671858,"ARS Pharmaceuticals, Inc.",2022-10-27,8-K,0001193125-22-270962,A,8k-text:merger:3;via-primary
0001672619,"Enliven Therapeutics, Inc.",2022-10-13,8-K,0001193125-22-262210,A,8k-text:merger:3;target:2;acquirer:1;defence:1;via-primary
